sample_id,noise,p,state_syndrome,true_error,action,corrected_error,next_syndrome,reward,success
100,biased,0.09,1101,IIYIX,IZIII,IZYIX,1000,-1,0
101,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
102,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
103,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
104,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
105,biased,0.09,1101,IIYIX,IZIII,IZYIX,1000,-1,0
106,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
107,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
108,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
109,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
110,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
111,biased,0.09,0101,IZIII,ZIIII,ZZIII,1111,-1,0
112,biased,0.09,0001,XIIII,XIIII,IIIII,0000,1,1
113,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
114,biased,0.09,1100,IIXII,IIIYI,IIXYI,0011,-1,0
115,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
116,biased,0.09,1110,IIYII,IYIII,IYYII,0011,-1,0
117,biased,0.09,1011,IXIIX,XIIII,XXIIX,1010,-1,0
118,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
119,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
120,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
121,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
122,biased,0.09,0010,IIZII,IXIII,IXZII,1010,-1,0
123,biased,0.09,1010,IZIYI,ZIIII,ZZIYI,0000,-1,0
124,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
125,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
126,biased,0.09,1000,IXIII,IXIII,IIIII,0000,1,1
127,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
128,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
129,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
130,biased,0.09,1100,IIXII,IIIYI,IIXYI,0011,-1,0
131,biased,0.09,1000,IXIII,IXIII,IIIII,0000,1,1
132,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
133,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
134,biased,0.09,1101,IYIII,IZIII,IXIII,1000,-1,0
135,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
136,biased,0.09,1010,IIIZX,ZIIII,ZIIZX,0000,-1,0
137,biased,0.09,0111,IIIIY,IXIII,IXIIY,1111,-1,0
138,biased,0.09,1100,IIIYX,IIIYI,IIIIX,0011,-1,0
139,biased,0.09,0100,IIIIZ,IZIII,IZIIZ,0001,-1,0
140,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
141,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
142,biased,0.09,1100,IIXII,IIIYI,IIXYI,0011,-1,0
143,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
144,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
145,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
146,biased,0.09,1000,IXIII,IXIII,IIIII,0000,1,1
147,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
148,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
149,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
150,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
151,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
152,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
153,biased,0.09,1011,YIIII,XIIII,ZIIII,1010,-1,0
