sample_id,noise,p,state_syndrome,true_error,action,corrected_error,next_syndrome,reward,success
2210,bitflip,0.07,0001,XIIII,XIIII,IIIII,0000,1,1
2211,bitflip,0.07,0011,IIIIX,IZIII,IZIIX,0110,-1,0
2212,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2213,bitflip,0.07,1100,IIXII,IYIII,IYXII,0001,-1,0
2214,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2215,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2216,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2217,bitflip,0.07,0011,IIIIX,IZIII,IZIIX,0110,-1,0
2218,bitflip,0.07,0001,XIIII,XIIII,IIIII,0000,1,1
2219,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2220,bitflip,0.07,0011,IIIIX,IZIII,IZIIX,0110,-1,0
2221,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2222,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2223,bitflip,0.07,0110,IIIXI,IIIXI,IIIII,0000,1,1
2224,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2225,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2226,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
2227,bitflip,0.07,1100,IIXII,IYIII,IYXII,0001,-1,0
2228,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2229,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2230,bitflip,0.07,0001,XIIII,XIIII,IIIII,0000,1,1
2231,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
2232,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2233,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2234,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2235,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2236,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2237,bitflip,0.07,0011,IIIIX,IZIII,IZIIX,0110,-1,0
2238,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2239,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2240,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2241,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2242,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2243,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2244,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
2245,bitflip,0.07,0011,IIIIX,IZIII,IZIIX,0110,-1,0
2246,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2247,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2248,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2249,bitflip,0.07,0110,IIIXI,IIIXI,IIIII,0000,1,1
2250,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2251,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2252,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2253,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2254,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2255,bitflip,0.07,0001,XIIII,XIIII,IIIII,0000,1,1
2256,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2257,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2258,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2259,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2260,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2261,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2262,bitflip,0.07,0001,XIIII,XIIII,IIIII,0000,1,1
2263,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2264,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2265,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2266,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2267,bitflip,0.07,0110,IIIXI,IIIXI,IIIII,0000,1,1
2268,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2269,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2270,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2271,bitflip,0.07,1100,IIXII,IYIII,IYXII,0001,-1,0
